,Unnamed: 0,par1,par1_type,par2,par2_type,alkalinity,dic,opt_k_bisulfate,opt_k_carbonic,opt_k_fluoride,opt_total_borate,opt_gas_constant,opt_pH_scale,buffers_mode,salinity,temperature,pressure,total_ammonia,total_borate,total_calcium,total_fluoride,total_phosphate,total_silicate,total_sulfate,total_sulfide,peng_correction,gas_constant,total_alpha,total_beta,pH,pCO2,fCO2,bicarbonate,carbonate,aqueous_CO2,xCO2,alkalinity_borate,hydroxide,alkalinity_phosphate,alkalinity_silicate,alkalinity_ammonia,alkalinity_sulfide,hydrogen_free,revelle_factor,saturation_calcite,saturation_aragonite,pH_total,pH_sws,pH_free,pH_nbs,gamma_dic,beta_dic,omega_dic,gamma_alk,beta_alk,omega_alk,isocapnic_quotient,isocapnic_quotient_approx,psi,substrate_inhibitor_ratio,alkalinity_alpha,alkalinity_beta,HCO3,CO3,CO2,BOH4,BOH3,OH,Hfree,H3PO4,H2PO4,HPO4,PO4,H3SiO4,H4SiO4,NH3,NH4,HS,H2S,HSO4,SO4,HF,F,alpha,alphaH,beta,betaH,k_CO2,k_carbonic_1,k_carbonic_2,k_water,k_borate,k_bisulfate,k_fluoride,k_phosphoric_1,k_phosphoric_2,k_phosphoric_3,k_silicate,k_ammonia,k_sulfide,k_calcite,k_aragonite,fugacity_factor,vp_factor,fH,k_alpha,k_beta,datetime,longitude,latitude,datenum,dayofyear,month,year,distance_to_shore
0,0,2289.51592583618,1,2107.33717878273,2,2289.51592583618,2107.33717878273,1,4,1,1,3,1,auto,34.7470660240964,12.5437440448,0.0,0.0,412.6958670347678,10210.24635499562,67.83207036581497,0.0568999999999999,0.3368,28031.385543814733,0.0,0.0,83.14462618,0.0,0.0,8.007801777213489,439.6814233199336,438.0432402947576,1955.1194128802963,134.4879433224379,17.72982257999562,445.9525997590616,63.47609102324839,1.885614689611976,0.0607189948416648,0.008214658921301,0.0,0.0,0.0083701170953886,12.656760678466672,3.2087474491858625,2.0495402457146907,8.007801777213489,7.999433344997382,8.077268466316728,8.118289120070381,0.0001664989354162,0.0001907987442543,-0.0002234035367274,-0.0001907987442543,-0.000201370048668,0.0002131814803021,1.1459457309885597,1.1477337313614198,0.7452833462494626,0.2335832809265529,0.0,0.0,1955.1194128802963,134.4879433224379,17.72982257999565,63.47609102324839,349.2197760115194,1.885614689611976,0.0083701170953886,2.3471968104538756e-10,0.0005939462470113,0.0518931119601533,0.0044129415581155,0.008214658921301,0.3285853410786989,0.0,0.0,0.0,0.0,0.0014518442237896,28031.384091970507,0.0001910942967433,67.83187927151822,0.0,0.0,0.0,0.0,0.0404750512028565,1.0830964217526352e-06,6.756290069135898e-10,1.8520434686034067e-14,1.7852932689458423e-09,0.1616054693410416,0.002971102654442,0.0248539751012674,8.581452359893325e-07,8.352503826080683e-10,2.455497939381525e-10,2.0703596569842143e-10,1.9424880528192876e-07,4.279411374202049e-07,6.699819805782585e-07,0.996274159110916,0.9859375717452568,0.7605788157509361,1e-07,1e-07,2014-05-18 14:33:00,2.78233333333333,54.6388333333333,16208.60625,138,5,2014,194.7329135621805
1,1,2287.59099199907,1,2109.02865439306,2,2287.59099199907,2109.02865439306,1,4,1,1,3,1,auto,34.7458160240964,12.367624496,0.0,0.0,412.68102060619634,10209.879048934876,67.82963015725466,0.0703999999999999,1.0218999999999998,28030.37713545285,0.0,0.0,83.14462618,0.0,0.0,8.002421043676303,445.4362435883988,443.7728706055004,1958.8017063650132,132.16464503459656,18.062302993449887,451.71537069529313,62.54077363934888,1.829921018991339,0.075000703299548,0.024437632038817,0.0,0.0,0.008483671512196,12.776717733158153,3.1532583908323266,2.013408897804454,8.002421043676303,7.994072155616798,8.071416155714468,8.112546218161418,0.0001650681104834,0.0001887733956783,-0.0002204290107429,-0.0001887733956783,-0.0001989863847324,0.0002103676635253,1.1436091145981615,1.144751149133284,0.7488493004034464,0.2308908004687656,0.0,0.0,1958.8017063650132,132.16464503459656,18.06230299344997,62.54077363934888,350.1402469668474,1.829921018991339,0.008483671512196,2.9924457978959004e-10,0.0007479943529696,0.0643033070967787,0.0053486982510069,0.024437632038817,0.9974623679611828,0.0,0.0,0.0,0.0,0.0014607369166789,28030.37567471593,0.000193020385557,67.82943713686909,0.0,0.0,0.0,0.0,0.0407016836536329,1.0784407921539555e-06,6.709710410560345e-10,1.819748214473189e-14,1.776233971032687e-09,0.1627948858363833,0.0029812533109678,0.0248571299456529,8.548973016359294e-07,8.271680381528197e-10,2.4363605454664945e-10,2.0400898284726448e-10,1.9283555043335003e-07,4.279335446380789e-07,6.701992038577436e-07,0.9962657439603512,0.9860993724937248,0.7612476017894454,1e-07,1e-07,2014-05-19 13:33:00,2.80783333333333,54.713,16209.564583333333,139,5,2014,198.77480244692765
2,2,2290.97703569311,1,2126.80960001205,2,2290.97703569311,2126.80960001205,1,4,1,1,3,1,auto,34.7403320240964,12.459536192,0.0,0.0,412.6158863547679,10208.267603785178,67.81892447425892,0.0976,1.5681,28025.953046287577,0.0,0.0,83.14462618,0.0,0.0,7.966816446196227,489.86988716255024,488.0427404464948,1983.290304236221,123.71228578258491,19.80700999324424,496.8178388375183,58.433763572049145,1.701278859512702,0.1033707945134065,0.0347504514689481,0.0,0.0,0.0092033343379782,13.291197228779088,2.9517398901906717,1.8850530930154648,7.966816446196227,7.958457842049732,8.03605480067239,8.077140659497381,0.000160016405099,0.0001814888195413,-0.0002096170922391,-0.0001814888195413,-0.000190355455204,0.0002001329497865,1.13418883163265,1.1332833729720038,0.7633747963476469,0.2154969309386089,0.0,0.0,1983.290304236221,123.71228578258491,19.807009993244183,58.433763572049145,354.1821227827187,1.701278859512702,0.0092033343379782,4.902140848105181e-10,0.0011287783775956,0.08957164726076,0.0068995738714303,0.0347504514689481,1.533349548531052,0.0,0.0,0.0,0.0,0.001590693907306,28025.95145559367,0.0002097575792997,67.81871471667964,0.0,0.0,0.0,0.0,0.0405845807175073,1.080813901183785e-06,6.733022973706582e-10,1.836365221628417e-14,1.780823082754977e-09,0.1621507445279615,0.0029756174150803,0.0248545812327154,8.565356298334305e-07,8.314483226456688e-10,2.44626124675209e-10,2.0559037378386343e-10,1.935701296932151e-07,4.278453272056426e-07,6.699483021586249e-07,0.996270138736964,0.98601509218907,0.7608817763209581,1e-07,1e-07,2014-05-20 14:24:00,2.68733333333333,54.783,16210.6,140,5,2014,194.14477785895295
3,3,2321.12540028739,1,2111.33792871224,2,2321.12540028739,2111.33792871224,1,4,1,1,3,1,auto,34.8034820240964,12.9470966144,0.0,0.0,413.3659279261963,10226.823905973995,67.9422038107252,0.0832,0.1858999999999999,28076.897836730142,0.0,0.0,83.14462618,0.0,0.0,8.057291111512454,391.0433494438154,389.5938834328717,1943.3799012412812,152.39328484920213,15.564742621755784,396.7722740803951,70.67128948444253,2.2016640138091748,0.0897549307012325,0.0051565698854897,0.0,0.0,0.0074495677183928,11.886004641685131,3.634890395656328,2.323774269665208,8.057291111512454,8.048873771241311,8.127868927649494,8.168522632035026,0.0001776322652026,0.0002065189704522,-0.0002466253953417,-0.0002065189704522,-0.000219902753922,0.0002351414625637,1.1626208235122053,1.1697560994212024,0.7202513145757394,0.2608714994889059,0.0,0.0,1943.3799012412812,152.39328484920213,15.56474262175584,70.67128948444253,342.69463844175385,2.2016640138091748,0.0074495677183928,2.6806495010205013e-10,0.0007602063823288,0.0751246557299148,0.0073151376196912,0.0051565698854897,0.1807434301145102,0.0,0.0,0.0,0.0,0.0013145637856116,28076.896522166364,0.0001715196304894,67.94203229109472,0.0,0.0,0.0,0.0,0.0399511986292191,1.0942704001107308e-06,6.872535819023584e-10,1.9295673080165945e-14,1.8073597000677061e-09,0.159110378859913,0.0029509087037649,0.0248542330848049,8.660837135000201e-07,8.533926431501454e-10,2.500387254727099e-10,2.140653525813061e-10,1.975276398048615e-07,4.2876101311558723e-07,6.706758521903516e-07,0.9962933367540832,0.9855611770004402,0.7591911541788987,1e-07,1e-07,2014-05-21 15:04:00,2.943,55.1686666666667,16211.627777777778,141,5,2014,227.59895616247516
4,4,2319.07965479265,1,2096.77861768114,2,2319.07965479265,2096.77861768114,1,4,1,1,3,1,auto,34.8679660240964,12.014393184,0.0,0.0,414.1318136061964,10245.77219719084,68.06808733776705,0.0596,0.3714999999999999,28128.918800576525,0.0,0.0,83.14462618,0.0,0.0,8.097267138725925,350.4491458996264,349.1345375050491,1922.7841020313235,159.6335732450845,14.36094240473188,355.273807651044,74.75958028804907,2.20161541028529,0.064530665306721,0.0108279317684861,0.0,0.0,0.0068332588024568,11.54171797567411,3.8055142328618015,2.428718098408769,8.097267138725925,8.088947665734278,8.165372130521211,8.2064592027641,0.0001816695419261,0.0002126836682308,-0.0002564670139689,-0.0002126836682308,-0.0002274191847799,0.0002443485631673,1.1707172593485695,1.1803904622437504,0.7083544160892221,0.2813861083879915,0.0,0.0,1922.7841020313235,159.6335732450845,14.360942404731771,74.75958028804907,339.3722333181474,2.20161541028529,0.0068332588024568,1.6220631935860707e-10,0.0005049066860887,0.0536595208344824,0.0054355723172224,0.0108279317684861,0.3606720682315138,0.0,0.0,0.0,0.0,0.0011601653549074,28128.917640411168,0.0001546000950771,68.06793273767197,0.0,0.0,0.0,0.0,0.0411329755782878,1.0702381883737075e-06,6.63630860580837e-10,1.7598445911148508e-14,1.7608542478664862e-09,0.1656765333121423,0.0030085738324584,0.0248814802155398,8.495100669021067e-07,8.097134423489085e-10,2.399749232454418e-10,1.9792604976110643e-10,1.9006263711719358e-07,4.297892811355333e-07,6.734290107873347e-07,0.9962487898459488,0.986419877718212,0.7629366234863533,1e-07,1e-07,2014-05-22 15:03:00,2.94233333333333,55.4336666666667,16212.627083333333,142,5,2014,243.6052192864905
5,5,2307.88147269298,1,2088.15341448261,2,2307.8814726929795,2088.15341448261,1,4,1,1,3,1,auto,34.8430990240964,12.1321780896,0.0,0.0,413.8364646947678,10238.46515734081,68.0195428047519,0.0763,0.4937,28108.85792798848,0.0,0.0,83.14462618,0.0,0.0,8.09189745517165,353.87473824303777,352.5492843291376,1915.955972141219,157.74833094595846,14.449111395432304,358.7851237261943,74.14069575702104,2.199533182943833,0.082570353639772,0.0142889697517248,0.0,0.0,0.0069134467519426,11.576989585361844,3.7612084285205554,2.400884236142267,8.09189745517165,8.083566902096262,8.16030537778639,8.201374665951965,0.0001803710195198,0.0002109723769721,-0.0002540788448051,-0.0002109723769721,-0.0002254503251713,0.0002420617789906,1.1696578393453068,1.1787954232195743,0.709901761629248,0.2771346971903471,0.0,0.0,1915.955972141219,157.74833094595846,14.449111395432276,74.14069575702104,339.6957689377467,2.199533182943833,0.0069134467519426,2.1250507255983015e-10,0.0006531974473521,0.0687232508280084,0.0069235515121343,0.0142889697517248,0.4794110302482751,0.0,0.0,0.0,0.0,0.0011794228385319,28108.85674856564,0.0001567339226976,68.0193860708292,0.0,0.0,0.0,0.0,0.0409846567209096,1.0731166432385387e-06,6.663183793521682e-10,1.780053531833541e-14,1.7663186905563823e-09,0.1647662551889202,0.0030002975463562,0.0248758381477625,8.514551188771891e-07,8.153194029411408e-10,2.412100727640433e-10,1.9991798003818187e-10,1.909903467312613e-07,4.294100741059308e-07,6.727108145014113e-07,0.9962544545550752,0.9863138542864897,0.7624164114077009,1e-07,1e-07,2014-05-23 15:42:00,2.841,55.4495,16213.654166666667,143,5,2014,239.5041297797027
6,6,2313.64125330008,1,2106.40107664895,2,2313.64125330008,2106.40107664895,1,4,1,1,3,1,auto,34.6319990240964,13.238912144,0.0,0.0,411.32919983762497,10176.434509802257,67.60744038308864,0.0891,0.5273,27938.557923832857,0.0,0.0,83.14462618,0.0,0.0,8.05043324266918,397.5669058658857,396.09874273372,1939.8639389766631,150.84125340739106,15.69588426489593,403.505837417723,69.76826674708386,2.2249178988716154,0.0961282768974582,0.0145728432304602,0.0,0.0,0.0075557197257729,11.939170703428656,3.6020983764601424,2.30351200832622,8.05043324266918,8.041997480642186,8.121724160306554,8.162546112101415,0.0001764277544037,0.0002049100893076,-0.000244359217294,-0.0002049100893076,-0.0002180569918456,0.0002330065453433,1.161439083097678,1.168244894705968,0.7220016349594449,0.2567411192291428,0.0,0.0,1939.8639389766631,150.84125340739106,15.69588426489593,69.76826674708386,341.56093309054114,2.2249178988716154,0.0075557197257729,2.953061908986369e-10,0.0008232543762535,0.0804252134641161,0.0078515318643241,0.0145728432304602,0.5127271567695397,0.0,0.0,0.0,0.0,0.0013479030994768,27938.55657592976,0.000174634623554,67.6072657484651,0.0,0.0,0.0,0.0,0.0396261905720001,1.1004042002099457e-06,6.92333936237312e-10,1.980982993338636e-14,1.8186808754847014e-09,0.1566105924916375,0.0029250874827984,0.0248215131779943,8.698110720206083e-07,8.69218443071318e-10,2.530607143586587e-10,2.1954091344438867e-10,1.9984077601409005e-07,4.26147755071949e-07,6.663851245959791e-07,0.9963071294151908,0.9852816712892084,0.7576198913002035,1e-07,1e-07,2014-06-04 14:51:00,2.69733333333333,54.4458333333333,16225.61875,155,6,2014,184.380369215538
7,7,2357.25044736687,1,2123.55006700511,2,2357.25044736687,2123.5500670051097,1,4,1,1,3,1,auto,34.427,19.8,0.0,0.0,408.89439714285714,10116.196602604385,67.20724808432628,0.09505,1.0903,27773.17973977073,0.0,0.0,83.14462618,0.0,0.0,8.00109342455464,465.3122045899993,463.7301258377841,1936.6960552108485,171.69511032162976,15.158901472631928,475.9500589582466,73.31529972104609,3.71917478979751,0.1046096443867678,0.0352738307539805,0.0,0.0,0.0081029462213098,11.232282049415575,4.123166964310117,2.67579725208368,8.00109342455464,7.991976118362626,8.091357043465573,8.127316997377923,0.0001890577584913,0.0002228326256882,-0.0002712999248029,-0.0002228326256882,-0.0002392585979198,0.0002582989487021,1.178648406002637,1.1937529655111188,0.6968588680172749,0.2390113425802517,0.0,0.0,1936.6960552108485,171.69511032162976,15.158901472631957,73.31529972104609,335.57909742181107,3.71917478979751,0.0081029462213098,3.448271242159821e-10,0.0008476614064026,0.0837950317659453,0.0104073064828248,0.0352738307539805,1.0550261692460194,0.0,0.0,0.0,0.0,0.0018719082892874,27773.17786786244,0.0002116187111758,67.2070364656151,0.0,0.0,0.0,0.0,0.0326890590626292,1.2743840087092974e-06,8.843069425857325e-10,3.7098227896946144e-14,2.179246153847785e-09,0.1202220044358219,0.0025733783139901,0.0245204008509644,9.86057941101128e-07,1.238872605435478e-09,3.335001012384473e-10,3.7614705525177677e-10,2.573864889274048e-07,4.21254221998277e-07,6.491155076741733e-07,0.9965999629139124,0.9776492214508148,0.7322495626864887,1e-07,1e-07,2014-08-07 18:08:00,2.80356666666667,51.6073833333333,16289.755555555555,219,8,2014,38.12037005438845
8,8,2365.52158230317,1,2124.45341712241,2,2365.52158230317,2124.45341712241,1,4,1,1,3,1,auto,34.338,20.0435204896,0.0,0.0,407.8373314285715,10090.044411079369,67.03350523483302,0.09815,1.1167,27701.38106440431,0.0,0.0,83.14462618,0.0,0.0,8.01165723436971,454.0979185842481,452.558629107,1932.9447549863964,176.8075174462409,14.701144689772743,464.6414777435599,74.93363796908885,3.892352113484823,0.1084189251068948,0.0373255110090584,0.0,0.0,0.0078957922622328,11.07571603813354,4.249826895794415,2.7593005624928018,8.01165723436971,8.002522084388183,8.10260428644693,8.138512508549546,0.0001918118349917,0.0002269376966584,-0.0002778125897367,-0.0002269376966584,-0.0002442541727697,0.0002644316220603,1.1831266650891816,1.2003846222028978,0.6904360784136703,0.244806941569634,0.0,0.0,1932.9447549863964,176.8075174462409,14.701144689772825,74.93363796908885,332.9036934594826,3.892352113484823,0.0078957922622328,3.37127082936659e-10,0.0008481160825075,0.0861848417167089,0.0111170418636564,0.0373255110090584,1.0793744889909418,0.0,0.0,0.0,0.0,0.0018393602624552,27701.37922504405,0.0002069418736929,67.03329829295932,0.0,0.0,0.0,0.0,0.032484508623295,1.2800032000742695e-06,8.90479754790872e-10,3.789264197995034e-14,2.1912956159480793e-09,0.1189132657711766,0.0025576312252721,0.0244908817574454,9.89278009530998e-07,1.2557440191110891e-09,3.366482634154825e-10,3.83755458128951e-10,2.59628627750482e-07,4.197807927213893e-07,6.465391003412715e-07,0.9966102256490248,0.97730818348264,0.7311552046808131,1e-07,1e-07,2014-08-07 18:13:00,2.80053333333333,51.60555,16289.759027777778,219,8,2014,38.07985168779479
9,9,2328.90502483662,1,2091.43145211335,2,2328.90502483662,2091.43145211335,1,4,1,1,3,1,auto,35.152,18.86,0.0,0.0,417.5053257142858,10329.234117836271,68.6225690492996,0.02955,1.0487,28358.056589665688,0.0,0.0,83.14462618,0.0,0.0,8.017559539485996,436.948736715943,435.4456144499443,1904.655768289588,172.21871311835696,14.556970705405584,446.3541934111944,76.17531743591026,3.579810808404737,0.0324746876795651,0.0340339765939677,0.0,0.0,0.0078442106242445,11.04448003792308,4.110155776835295,2.6641301284823404,8.017559539485996,8.008481583960302,8.105450753642819,8.14082597768161,0.000189364410541,0.0002239133520137,-0.000273882320491,-0.0002239133520137,-0.0002407929725206,0.0002604250100988,1.1824468566928654,1.1978902560805578,0.6914079382761553,0.242810380741531,0.0,0.0,1904.655768289588,172.21871311835696,14.556970705405556,76.17531743591026,341.33000827837554,3.579810808404737,0.0078442106242445,9.976015845984184e-11,0.0002565042916815,0.0261123034377912,0.003181192170767,0.0340339765939677,1.0146660234060323,0.0,0.0,0.0,0.0,0.0017595307378222,28358.05483013495,0.0002028569074019,68.6223661923922,0.0,0.0,0.0,0.0,0.0334300546895943,1.2565678643268343e-06,8.683689855325826e-10,3.4379577519871064e-14,2.143286665107721e-09,0.1264237959586726,0.0026535369233476,0.0246932336676756,9.7766711734581e-07,1.1699981677665667e-09,3.221291586659516e-10,3.4743654559533006e-10,2.489810664210263e-07,4.328029164485058e-07,6.677179122197601e-07,0.9965599574053102,0.9789282663093818,0.7373193070892159,1e-07,1e-07,2014-08-08 18:33:00,3.4376,52.7086333333333,16290.772916666667,220,8,2014,81.2344295112858
